"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2012-11-29,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-29,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-11-29,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-11-29,5,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2012-11-30,201,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-30,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-30,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-11-30,204,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-11-30,205,260,,3,,"260 lb || 3 reps","123"
"Barbell Squat",2012-11-30,206,185,,8,,"185 lb || 8 reps","105"
"Barbell Squat",2012-12-03,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-03,102,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-03,103,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-03,104,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-12-03,105,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2012-12-03,106,260,,5,,"260 lb || 5 reps","153"
"Barbell Squat",2012-12-04,201,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-04,202,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-12-04,203,125,,5,,"125 lb || 5 reps","61"
"Barbell Squat",2012-12-05,101,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-05,102,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-05,103,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-05,104,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-12-05,105,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-12-05,106,270,,3,,"270 lb || 3 reps","131"
"Barbell Squat",2012-12-05,107,185,,8,,"185 lb || 8 reps","105"
"Barbell Squat",2012-12-05,201,45,,10,,"45 lb || 10 reps","42"
"Barbell Squat",2012-12-05,202,95,,10,,"95 lb || 10 reps","59"
"Barbell Squat",2012-12-05,203,135,,10,,"135 lb || 10 reps","77"
"Barbell Squat",2012-12-07,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-07,1,45,,7,,"45 lb || 7 reps","39"
"Barbell Squat",2012-12-07,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-12-07,2,45,,12,,"45 lb || 12 reps","43"
"Barbell Squat",2012-12-07,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-12-07,3,95,,12,,"95 lb || 12 reps","61"
"Barbell Squat",2012-12-07,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-12-07,4,135,,12,,"135 lb || 12 reps","79"
